name,Pearson IC50,Spearman IC50,R2 IC50,MSE IC50,Pearson Emax,Spearman Emax,R2 Emax,MSE Emax
DL,0.6428816219170983,0.6221096358843538,0.409047420977003,2.391466074445174,0.5557363791253229,0.5610698036067763,0.3010466513510538,0.00843207085302917
EN,0.3698641782446577,0.3605187178068918,0.13022872761224435,3.430802487260343,0.20314209708449005,0.19574609847479155,0.02299009542394448,0.011797580449065875
SVR,0.3975359153415318,0.3972342113716499,0.15767358014835287,3.3481409988987654,0.01109671103655048,0.019689758951200342,-0.0019766460555266097,0.012035908992448802
RF,0.5983326969755279,0.5888384023090955,0.3548313873096425,2.559338068374307,0.569008709381682,0.5539167763911929,0.32231427671150814,0.00825083499956455
XGBoost,0.6997842843644053,0.6787218855471846,0.48201519843048257,2.0626302087029855,0.5099299484702572,0.48016555009894996,0.24517632192109295,0.009202895414619277
LGBM,0.6342563356110718,0.6204132530251341,0.401515973360854,2.3740363563618105,0.5873358567472496,0.5677562994323848,0.3433106536242988,0.007921410895484135
Ensemble,0.6237927821042498,0.6061999411565387,0.38895942202978906,0.6063628397568637,0.543964032005724,0.5283820116209735,0.2956393914116928,0.002119297685226921
Baseline,0.5062656721097435,0.4771047650313453,0.254233030287187,2.969739413139153,0.5094936180312154,0.4781691623793864,0.25758766449170445,0.009045493337427908
