,Cell,Drug,CV
Pearson Emax,0.0796453070023962,0.04878597127273102,0.035049712368843675
Pearson IC50,0.1091179805368517,0.05450082797879846,0.03362768150892332
R2 Emax,0.07678612342015888,0.05160662352726456,0.04350856207131802
R2 IC50,0.1238221856361575,0.06819437144628282,0.048900385289178
