name,Pearson IC50,Spearman IC50,R2 IC50,MSE IC50,Pearson Emax,Spearman Emax,R2 Emax,MSE Emax,mainModel,type
DL,0.6931429256945733,0.6679897486298124,0.47309958902529914,2.0981324188690107,0.6171813596224173,0.6164489647385167,0.3680829186386816,0.0077044043256307895,DL,Morgan Fingerprints
EN,0.3949081459345954,0.3868318531903845,0.14652449136448997,3.3985637438890945,0.22093578521080223,0.21058279125617768,0.025067473900585946,0.011886487314280516,EN,Morgan Fingerprints
SVR,0.4268075889747147,0.42010253066286724,0.1821365323201547,3.258310795315804,0.42160366097097707,0.4075734934794085,0.17759212478020392,0.01002653699415784,SVR,Morgan Fingerprints
RF,0.6935390468342526,0.6749628710737005,0.46485108149012344,2.1309782104196806,0.662640544327297,0.6422133651120824,0.42570329313846766,0.007001890221115253,RF,Morgan Fingerprints
XGBoost,0.727327480020669,0.7052242282119986,0.5264189532443747,1.8858131944171277,0.5326191434133694,0.5026761784403921,0.27607345229458435,0.008826194116426333,XGBoost,Morgan Fingerprints
LGBM,0.7183659740241175,0.6961465150771595,0.513677400787157,1.9365504186067146,0.6837010012294712,0.6541241815639265,0.465924342620853,0.006511510649564605,LGBM,Morgan Fingerprints
Ensemble,0.7354888001572074,0.7146097018305502,0.5365251467626048,1.1547318488544571,0.6742765040912737,0.6560258781558331,0.4403056393548166,0.0042680689647757375,Ensemble,Morgan Fingerprints
Baseline,0.5062656721097435,0.4771047650313453,0.254233030287187,2.969739413139153,0.5094936180312154,0.4781691623793864,0.25758766449170445,0.009045493337427908,Baseline,Morgan Fingerprints
DL Shuffled,0.6557641015916312,0.6293887778407516,0.4299184153179959,2.2700810804244425,0.571299052312386,0.565352007590036,0.325216431960929,0.008227037365828409,DL,Fingerprints with Shuffled Bits
EN Shuffled,0.40027917148423486,0.39532642556496356,0.1487901804281122,3.389541705613077,0.17979708230164052,0.11762117657913795,0.003085112514103483,0.012154498743547067,EN,Fingerprints with Shuffled Bits
SVR Shuffled,0.42948624323167794,0.4223366447046305,0.18443840278070978,3.247589470550905,0.42228014970281236,0.4084308041761891,0.1781886775902598,0.010019616329386248,SVR,Fingerprints with Shuffled Bits
RF Shuffled,0.6845141868220646,0.6647229710630956,0.4541810516718162,2.173466572557558,0.6512811961990684,0.6312017138657813,0.4108990290457256,0.007182385478607251,RF,Fingerprints with Shuffled Bits
XGBoost Shuffled,0.6997842843644053,0.6787218855471846,0.48201519843048257,2.0626302087029855,0.5099299484702572,0.48016555009894996,0.24517632192109295,0.009202895414619277,XGBoost,Fingerprints with Shuffled Bits
LGBM Shuffled,0.7150566097897391,0.692508794432274,0.5094543876201115,1.9533665771189048,0.6353094250924011,0.6070846915560915,0.40158334833581777,0.007295963308475362,LGBM,Fingerprints with Shuffled Bits
Ensemble Shuffled,0.7187922122272306,0.6979715195638437,0.5033085411801008,1.2374898930267213,0.6536593184557914,0.6330513784554295,0.4095597508572365,0.00450252830851418,Ensemble,Fingerprints with Shuffled Bits
Baseline Shuffled,0.5062656721097435,0.4771047650313453,0.254233030287187,2.969739413139153,0.5094936180312154,0.4781691623793864,0.25758766449170445,0.009045493337427908,Baseline,Fingerprints with Shuffled Bits
