name,Pearson IC50,Spearman IC50,R2 IC50,MSE IC50,Pearson Emax,Spearman Emax,R2 Emax,MSE Emax
DL,0.6557641015916312,0.6293887778407516,0.4299184153179959,2.2700810804244425,0.571299052312386,0.565352007590036,0.325216431960929,0.008227037365828409
EN,0.40027917148423486,0.39532642556496356,0.1487901804281122,3.389541705613077,0.17979708230164052,0.11762117657913795,0.003085112514103483,0.012154498743547067
SVR,0.42948624323167794,0.4223366447046305,0.18443840278070978,3.247589470550905,0.42228014970281236,0.4084308041761891,0.1781886775902598,0.010019616329386248
RF,0.6845141868220646,0.6647229710630956,0.4541810516718162,2.173466572557558,0.6512811961990684,0.6312017138657813,0.4108990290457256,0.007182385478607251
XGBoost,0.6997842843644053,0.6787218855471846,0.48201519843048257,2.0626302087029855,0.5099299484702572,0.48016555009894996,0.24517632192109295,0.009202895414619277
LGBM,0.7150566097897391,0.692508794432274,0.5094543876201115,1.9533665771189048,0.6353094250924011,0.6070846915560915,0.40158334833581777,0.007295963308475362
Ensemble,0.7187922122272306,0.6979715195638437,0.5033085411801008,1.2374898930267213,0.6536593184557914,0.6330513784554295,0.4095597508572365,0.00450252830851418
Baseline,0.5062656721097435,0.4771047650313453,0.254233030287187,2.969739413139153,0.5094936180312154,0.4781691623793864,0.25758766449170445,0.009045493337427908
