Input,Mean Absolute SHAP for Grouped Features,Median Absolute SHAP for Grouped Features
Single Agent,0.04684145978473927,0.0445186273181032
Drug A Coeffs.,0.12631769115482647,0.1238746803743774
Drug B Coeffs.,0.11663810727811764,0.11386956582768662
Gene Expression,0.13787397304171126,0.13549106292226554
