name,Pearson IC50,Spearman IC50,R2 IC50,MSE IC50,Pearson Emax,Spearman Emax,R2 Emax,MSE Emax
DL,0.450373571651404,0.42325362404147526,0.1342524369496092,3.504486282359747,0.4425641353080826,0.4206210509757965,0.16489041915187763,0.01041020879472579
EN,0.3488027411707511,0.338512341261988,0.11838417460557116,3.583514458558741,0.21659737606658694,0.20723090315636628,0.02493867758207524,0.011742170592597937
SVR,0.3437504951256218,0.33301478057128836,0.11561923048085576,3.5819868819984975,0.014926977933968187,0.04325081724649629,-0.001775613456566072,0.013092633045804627
RF,0.48440459477742265,0.4522640481288028,0.23450382287421656,2.9986856858409925,0.48795098780065355,0.4525589625100049,0.23765176271785204,0.008863011851661067
XGBoost,0.4721193916041624,0.44609481078057434,0.2190345576546161,3.2040250644387793,0.3941723662124702,0.36722884496944025,0.15258048144282,0.009743744346846602
LGBM,0.45169430877209976,0.41773479078360376,0.19399880595334573,3.212713091820649,0.467213716272201,0.4302639816591928,0.21194705396767888,0.009846625863358067
Ensemble,0.45990851907840724,0.4421746137488643,0.19750774382006486,0.7907648117419461,0.4488351993785018,0.42792662854568053,0.19272728863421407,0.002383547568349562
Baseline,0.5062656721097435,0.4771047650313453,0.254233030287187,2.969739413139153,0.5094936180312154,0.4781691623793864,0.25758766449170445,0.009045493337427908
